epoch,dev_f1,dev_precision,dev_recall,dev_support,loss,test_f1,test_precision,test_recall,test_support,val_dev_f1,val_dev_precision,val_dev_recall,val_dev_support,val_loss,val_test_f1,val_test_precision,val_test_recall,val_test_support
0,"""[0.9094043675207897, 0.0]""","""[0.8338602690471763, 0.0]""","""[1.0, 0.0]""","""[13451, 2680]""",0.642232358455658,"""[0.8469938636592264, 0.0021867483052700636]""","""[0.7346103883513969, 0.9375]""","""[0.9999736078120877, 0.0010946508063927607]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"""[0.4184886620657658, 0.3323789866169518]""","""[0.9514767932489452, 0.2022854364211038]""","""[0.26823284514162515, 0.9313432835820895]""","""[13451, 2680]""",0.475080668926239,"""[0.3981418918918919, 0.48941353491204814]""","""[0.9955649419218585, 0.3243121335137573]""","""[0.24882554763789919, 0.9969349777421003]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"""[0.8605500310752021, 0.4492175513961338]""","""[0.9010819165378671, 0.38144867118290776]""","""[0.8235075459073675, 0.5462686567164179]""","""[13451, 2680]""",0.32479554414749146,"""[0.8601717314588602, 0.7051486759256469]""","""[0.9377005264305517, 0.600461775269369]""","""[0.794484032726313, 0.854046559147632]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"""[0.4400729843767819, 0.33306166802499315]""","""[0.9442133594323464, 0.20358684822318165]""","""[0.28689316779421603, 0.9149253731343283]""","""[13451, 2680]""",0.15807317197322845,"""[0.4266803278688525, 0.48556613834442686]""","""[0.9542621448212649, 0.3245581692598874]""","""[0.2747690683557667, 0.9635846165073342]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"""[0.7680327155659966, 0.42518326865028033]""","""[0.9257472469847928, 0.29896907216494845]""","""[0.6562337372686046, 0.735820895522388]""","""[13451, 2680]""",0.15292991697788239,"""[0.8191424383093084, 0.685818876332962]""","""[0.9718820204362635, 0.5387372369243593]""","""[0.707891264185801, 0.9433700649492812]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"""[0.9124917479644978, 0.522417934347478]""","""[0.9004705030763662, 0.5634715025906736]""","""[0.9248383019849825, 0.4869402985074627]""","""[13451, 2680]""",0.1195465549826622,"""[0.9072651796935498, 0.7007741776922132]""","""[0.87405523078052, 0.7986928104575164]""","""[0.9430984428609132, 0.6242428665255784]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"""[0.8308598062063045, 0.46981930026912727]""","""[0.9230559593023255, 0.3577981651376147]""","""[0.7554085198126533, 0.683955223880597]""","""[13451, 2680]""",0.10057605803012848,"""[0.8469157099518173, 0.7135941238662289]""","""[0.9700551883899979, 0.5766446333018571]""","""[0.7515175508049617, 0.9358534627453842]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"""[0.7696641386782233, 0.42146511374768697]""","""[0.9226932668329177, 0.297525741509144]""","""[0.6601739647609843, 0.7223880597014926]""","""[13451, 2680]""",0.08031880110502243,"""[0.830645405307271, 0.6981773080241588]""","""[0.9731990924560409, 0.5536454992516571]""","""[0.7245183425705991, 0.9448295993578049]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"""[0.8808181358634365, 0.53170359052712]""","""[0.9233654002934942, 0.4501940491591203]""","""[0.8420191807300572, 0.6492537313432836]""","""[13451, 2680]""",0.08059343695640564,"""[0.8732691585002748, 0.7421176470588235]""","""[0.9652671267893661, 0.6215696901019855]""","""[0.7972816046450251, 0.920674304896738]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"""[0.8766435103418502, 0.5366357069143447]""","""[0.928500166278683, 0.4435778698513283]""","""[0.8302728421678686, 0.6791044776119403]""","""[13451, 2680]""",0.0754205733537674,"""[0.8643113159242192, 0.733714220091298]""","""[0.9696372886919415, 0.6047898523286633]""","""[0.7796252309316443, 0.9324965336057798]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
